movie_id,title,genres,release_year,rating,popularity,runtime
19995,Avatar,",Action, ,Adventure, ,Fantasy, ,Science Fiction",2009-12-10,7.2,150.437577,162
285,"Pirates of the Caribbean: At World's End",",Adventure, ,Fantasy, ,Action",2007-05-19,6.9,139.082615,169
206647,Spectre,",Action, ,Adventure, ,Crime",2015-10-26,6.3,107.376788,148
49026,"The Dark Knight Rises",",Action, ,Crime, ,Drama, ,Thriller",2012-07-16,7.6,112.31295,165
49529,"John Carter",",Action, ,Adventure, ,Science Fiction",2012-03-07,6.1,43.926995,132
559,"Spider-Man 3",",Fantasy, ,Action, ,Adventure",2007-05-01,5.9,115.699814,139
38757,Tangled,",Animation, ,Family",2010-11-24,7.4,48.681969,100
99861,"Avengers: Age of Ultron",",Action, ,Adventure, ,Science Fiction",2015-04-22,7.3,134.279229,141
767,"Harry Potter and the Half-Blood Prince",",Adventure, ,Fantasy, ,Family",2009-07-07,7.4,98.885637,153
209112,"Batman v Superman: Dawn of Justice",",Action, ,Adventure, ,Fantasy",2016-03-23,5.7,155.790452,151
1452,"Superman Returns",",Adventure, ,Fantasy, ,Action, ,Science Fiction",2006-06-28,5.4,57.925623,154
10764,"Quantum of Solace",",Adventure, ,Action, ,Thriller, ,Crime",2008-10-30,6.1,107.928811,106
58,"Pirates of the Caribbean: Dead Man's Chest",",Adventure, ,Fantasy, ,Action",2006-06-20,7,145.847379,151
57201,"The Lone Ranger",",Action, ,Adventure, ,Western",2013-07-03,5.9,49.046956,149
49521,"Man of Steel",",Action, ,Adventure, ,Fantasy, ,Science Fiction",2013-06-12,6.5,99.398009,143
2454,"The Chronicles of Narnia: Prince Caspian",",Adventure, ,Family, ,Fantasy",2008-05-15,6.3,53.978602,150
24428,"The Avengers",",Science Fiction, ,Action, ,Adventure",2012-04-25,7.4,144.448633,143
1865,"Pirates of the Caribbean: On Stranger Tides",",Adventure, ,Action, ,Fantasy",2011-05-14,6.4,135.413856,136
41154,"Men in Black 3",",Action, ,Comedy, ,Science Fiction",2012-05-23,6.2,52.035179,106
122917,"The Hobbit: The Battle of the Five Armies",",Action, ,Adventure, ,Fantasy",2014-12-10,7.1,120.965743,144
1930,"The Amazing Spider-Man",",Action, ,Adventure, ,Fantasy",2012-06-27,6.5,89.866276,136
20662,"Robin Hood",",Action, ,Adventure",2010-05-12,6.2,37.668301,140
57158,"The Hobbit: The Desolation of Smaug",",Adventure, ,Fantasy",2013-12-11,7.6,94.370564,161
2268,"The Golden Compass",",Adventure, ,Fantasy",2007-12-04,5.8,42.990906,113
254,"King Kong",",Adventure, ,Drama, ,Action",2005-12-14,6.6,61.22601,187
597,Titanic,",Drama, ,Romance, ,Thriller",1997-11-18,7.5,100.025899,194
271110,"Captain America: Civil War",",Adventure, ,Action, ,Science Fiction",2016-04-27,7.1,198.372395,147
44833,Battleship,",Thriller, ,Action, ,Adventure, ,Science Fiction",2012-04-11,5.5,64.928382,131
135397,"Jurassic World",",Action, ,Adventure, ,Science Fiction, ,Thriller",2015-06-09,6.5,418.708552,124
37724,Skyfall,",Action, ,Adventure, ,Thriller",2012-10-25,6.9,93.004993,143
558,"Spider-Man 2",",Action, ,Adventure, ,Fantasy",2004-06-25,6.7,35.149586,127
